Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,PHID,NPHI,VSH,Bulk Density,PE_filled
3,A1 SH,SHRIMPLIN,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.702,8.28,21.58,0.2087486930236666,2.4036549999999997,Original
2,A1 SH,SHRIMPLIN,2800.0,90.1,0.519,14.3,16.555,3.2,1,0.681,9.405,23.705,0.22777997783482098,2.3768425,Original
2,A1 SH,SHRIMPLIN,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638,10.06,21.86,0.19373449078492658,2.38666,Original
2,A1 SH,SHRIMPLIN,2801.0,69.3,0.438,9.5,15.12,3.1,1,0.617,10.37,19.869999999999997,0.1685208874048792,2.40052,Original
2,A1 SH,SHRIMPLIN,2801.5,63.54,0.418,8.8,15.19,3.0,1,0.596,10.79,19.59,0.15211067774735684,2.399365,Original
2,A1 SH,SHRIMPLIN,2802.0,63.87,0.401,7.2,15.39,2.9,1,0.574,11.790000000000001,18.990000000000002,0.15305084600898572,2.396065,Original
2,A1 SH,SHRIMPLIN,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.553,11.585,18.185,0.13723892524522724,2.4043975,Original
2,A1 SH,SHRIMPLIN,2803.0,56.61,0.369,5.5,14.8,3.0,1,0.532,12.05,17.55,0.13236714425315027,2.4058,Original
2,A1 SH,SHRIMPLIN,2803.5,55.97,0.352,6.1,14.46,3.0,1,0.511,11.41,17.51,0.1305437876245367,2.4114099999999996,Original
2,A1 SH,SHRIMPLIN,2804.0,63.67,0.344,6.0,14.745,3.0,1,0.489,11.745,17.744999999999997,0.152481047062544,2.4067075,Original
2,A1 SH,SHRIMPLIN,2804.5,66.2,0.342,6.8,15.135,3.0,1,0.468,11.735,18.535,0.15968900373503211,2.4002725,Original
2,A1 SH,SHRIMPLIN,2805.0,61.27,0.346,6.1,15.48,3.0,1,0.447,12.43,18.53,0.14564345970524303,2.3945799999999995,Original
3,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.404,11.775,17.575,0.16903370645667679,2.4078625,Original
3,A1 SH,SHRIMPLIN,2806.0,76.37,0.354,5.2,13.635,3.0,1,0.383,11.035,16.235,0.188663280161595,2.4250225000000003,Original
2,A1 SH,SHRIMPLIN,2806.5,82.2,0.348,7.4,15.055,3.0,1,0.362,11.355,18.755,0.20527291945037196,2.4015925,Original
2,A1 SH,SHRIMPLIN,2807.0,90.25,0.346,11.5,20.23,3.1,1,0.34,14.48,25.98,0.2282073270446523,2.316205,Original
2,A1 SH,SHRIMPLIN,2807.5,94.38,0.358,14.2,24.015,3.0,1,0.319,16.915,31.115000000000002,0.2399736752886744,2.2537525,Original
2,A1 SH,SHRIMPLIN,2808.0,87.44,0.377,13.9,23.58,3.1,1,0.298,16.63,30.529999999999998,0.22020165184714574,2.2609299999999997,Original
2,A1 SH,SHRIMPLIN,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.277,12.645,24.145,0.17330719855498988,2.3464824999999996,Original
2,A1 SH,SHRIMPLIN,2809.0,64.72,0.439,10.3,13.815,3.1,1,0.255,8.665,18.965,0.15547249153136317,2.4220525,Original
3,A1 SH,SHRIMPLIN,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.234,4.489999999999999,14.39,0.125757476474426,2.4942399999999996,Original
3,A1 SH,SHRIMPLIN,2810.0,41.46,0.493,11.1,5.255,3.4,1,0.213,-0.29499999999999993,10.805,0.08920487406018787,2.5632925,Original
3,A1 SH,SHRIMPLIN,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17,-0.7850000000000001,11.315,0.11618485417420464,2.5631275,Original
3,A1 SH,SHRIMPLIN,2811.0,72.79,0.543,11.3,11.76,4.1,1,0.149,6.109999999999999,17.41,0.1784638790202877,2.4559599999999997,Original
3,A1 SH,SHRIMPLIN,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128,10.614999999999998,24.715,0.2427087102315948,2.3585275,Original
3,A1 SH,SHRIMPLIN,2812.0,102.35,0.558,15.8,20.145,3.2,1,0.106,12.245,28.045,0.26268016330437804,2.3176075,Original
3,A1 SH,SHRIMPLIN,2812.5,79.7,0.549,15.5,18.07,3.2,1,0.085,10.32,25.82,0.1981504326198501,2.351845,Original
3,A1 SH,SHRIMPLIN,2813.0,66.69,0.53,14.0,15.72,3.3,1,0.064,8.72,22.72,0.16108501115381438,2.3906199999999997,Original
2,A1 SH,SHRIMPLIN,2813.5,73.68,0.521,14.7,15.98,3.3,1,0.043,8.63,23.33,0.1809994843319535,2.38633,Original
2,A1 SH,SHRIMPLIN,2814.0,71.05,0.535,17.2,18.02,3.3,1,0.021,9.42,26.619999999999997,0.1735066281862445,2.35267,Original
8,A1 LM,SHRIMPLIN,2814.5,57.02,0.628,11.6,12.09,3.5,2,1.0,6.29,17.89,0.13353523209335588,2.4505149999999998,Original
8,A1 LM,SHRIMPLIN,2815.0,43.29,0.702,7.3,6.705,4.0,2,0.981,3.055,10.355,0.09441853442012986,2.5393675,Original
8,A1 LM,SHRIMPLIN,2815.5,36.06,0.762,5.7,4.595,5.0,2,0.963,1.7449999999999997,7.445,0.07382030250626068,2.5741824999999996,Original
8,A1 LM,SHRIMPLIN,2816.0,46.0,0.823,5.1,4.62,5.5,2,0.944,2.0700000000000003,7.17,0.10213931014441555,2.5737699999999997,Original
6,A1 LM,SHRIMPLIN,2816.5,60.3,0.915,4.6,5.01,5.6,2,0.926,2.71,7.31,0.14287993481500053,2.567335,Original
6,A1 LM,SHRIMPLIN,2817.0,75.22,0.999,4.4,5.295,5.5,2,0.907,3.0949999999999998,7.495,0.18538693621955493,2.5626325,Original
6,A1 LM,SHRIMPLIN,2817.5,87.19,1.045,4.7,5.32,5.4,2,0.889,2.97,7.67,0.21948940316409354,2.56222,Original
6,A1 LM,SHRIMPLIN,2818.0,86.86,1.064,5.2,5.785,5.4,2,0.87,3.185,8.385,0.21854923490246467,2.5545475000000004,Original
6,A1 LM,SHRIMPLIN,2818.5,88.0,1.051,6.5,6.38,5.4,2,0.852,3.13,9.629999999999999,0.22179708889718264,2.54473,Original
6,A1 LM,SHRIMPLIN,2819.0,75.47,1.018,7.8,7.215,5.5,2,0.833,3.315,11.115,0.18609918490260713,2.5309525,Original
6,A1 LM,SHRIMPLIN,2819.5,59.36,0.972,10.0,8.925,4.9,2,0.796,3.9250000000000007,13.925,0.14020187976672432,2.5027374999999994,Original
6,A1 LM,SHRIMPLIN,2820.0,55.57,0.952,8.6,9.355,4.5,2,0.778,5.055000000000001,13.655000000000001,0.12940418973165319,2.4956424999999998,Original
6,A1 LM,SHRIMPLIN,2820.5,46.96,0.924,5.4,9.12,4.3,2,0.759,6.419999999999999,11.82,0.10487434508733594,2.4995200000000004,Original
6,A1 LM,SHRIMPLIN,2821.0,43.67,0.876,3.6,8.225,4.1,2,0.741,6.425,10.025,0.09550115241836919,2.5142875000000005,Original
6,A1 LM,SHRIMPLIN,2821.5,55.23,0.826,5.1,7.875,4.3,2,0.722,5.325,10.425,0.1284355315227022,2.5200625,Original
6,A1 LM,SHRIMPLIN,2822.0,61.24,0.777,9.7,8.575,4.3,2,0.704,3.7249999999999996,13.424999999999999,0.14555798986327675,2.5085125,Original
6,A1 LM,SHRIMPLIN,2822.5,54.46,0.728,12.8,10.66,4.4,2,0.685,4.26,17.060000000000002,0.1262418055789015,2.4741099999999996,Original
7,A1 LM,SHRIMPLIN,2823.0,43.23,0.699,14.9,12.375,4.0,2,0.667,4.925,19.825,0.09424759473619733,2.4458124999999997,Original
7,A1 LM,SHRIMPLIN,2823.5,44.59,0.682,16.0,13.54,3.9,2,0.648,5.539999999999999,21.54,0.09812222757200123,2.42659,Original
4,A1 LM,SHRIMPLIN,2824.0,47.48,0.676,16.5,12.89,3.7,2,0.63,4.640000000000001,21.14,0.10635582234808448,2.437315,Original
4,A1 LM,SHRIMPLIN,2824.5,61.1,0.671,15.2,11.785,3.7,2,0.611,4.1850000000000005,19.384999999999998,0.14515913060076754,2.4555474999999998,Original
4,A1 LM,SHRIMPLIN,2825.0,64.82,0.68,9.1,8.97,4.5,2,0.574,4.420000000000001,13.52,0.15575739100458402,2.501995,Original
4,A1 LM,SHRIMPLIN,2825.5,55.77,0.71,6.1,8.93,5.1,2,0.556,5.88,11.98,0.12997398867809495,2.5026550000000003,Original
4,A1 LM,SHRIMPLIN,2826.0,62.22,0.744,4.3,9.215,5.5,2,0.537,7.0649999999999995,11.365,0.1483500047008413,2.4979525000000002,Original
6,A1 LM,SHRIMPLIN,2826.5,55.06,0.786,2.9,9.5,5.6,2,0.519,8.05,10.95,0.12795120241822674,2.49325,Original
6,A1 LM,SHRIMPLIN,2827.0,71.02,0.839,3.1,8.89,5.4,2,0.5,7.340000000000001,10.440000000000001,0.1734211583442782,2.503315,Original
6,A1 LM,SHRIMPLIN,2827.5,91.37,0.881,3.9,8.06,5.3,2,0.481,6.11,10.01,0.23139820114472612,2.51701,Original
6,A1 LM,SHRIMPLIN,2828.0,115.42,0.911,5.2,6.875,5.3,2,0.463,4.275,9.475,0.2999165244543463,2.5365625,Original
6,A1 LM,SHRIMPLIN,2828.5,115.7,0.94,5.9,6.085,5.2,2,0.444,3.135,9.035,0.3007142429793648,2.5495975,Original
6,A1 LM,SHRIMPLIN,2829.0,107.11,0.972,6.0,6.135,5.6,2,0.426,3.135,9.135,0.2762413782296917,2.5487725,Original
6,A1 LM,SHRIMPLIN,2829.5,93.82,1.008,5.8,6.64,5.6,2,0.407,3.7399999999999998,9.54,0.2383782382386375,2.54044,Original
6,A1 LM,SHRIMPLIN,2830.0,61.63,1.061,3.6,6.865,6.1,2,0.37,5.065,8.665000000000001,0.14666909780883816,2.5367275,Original
6,A1 LM,SHRIMPLIN,2830.5,45.98,1.076,3.6,6.25,6.2,2,0.352,4.45,8.05,0.10208233024977137,2.546875,Original
6,A1 LM,SHRIMPLIN,2831.0,32.76,1.071,3.0,6.225,5.8,2,0.333,4.725,7.725,0.06441861988997181,2.5472875,Original
6,A1 LM,SHRIMPLIN,2831.5,37.82,1.058,3.6,6.19,5.7,2,0.315,4.390000000000001,7.99,0.07883453323494805,2.5478650000000003,Original
6,A1 LM,SHRIMPLIN,2832.0,40.73,1.038,2.3,6.375,5.5,2,0.296,5.225,7.525,0.08712510790567547,2.5448125000000004,Original
6,A1 LM,SHRIMPLIN,2832.5,33.42,1.005,2.2,6.61,5.4,2,0.278,5.51,7.710000000000001,0.0662989564132296,2.5409349999999997,Original
6,A1 LM,SHRIMPLIN,2833.0,32.08,0.968,2.2,7.355,5.3,2,0.259,6.255000000000001,8.455,0.06248130347206988,2.5286425,Original
6,A1 LM,SHRIMPLIN,2833.5,33.82,0.943,2.1,8.33,4.9,2,0.241,7.28,9.38,0.06743855430611309,2.512555,Original
6,A1 LM,SHRIMPLIN,2834.0,45.57,0.924,1.1,8.84,4.7,2,0.222,8.29,9.39,0.10091424240956579,2.50414,Original
6,A1 LM,SHRIMPLIN,2834.5,53.95,0.9,1.9,8.125,4.6,2,0.204,7.175,9.075,0.12478881826547504,2.5159374999999997,Original
6,A1 LM,SHRIMPLIN,2835.0,59.42,0.875,4.3,7.845,4.6,2,0.185,5.695,9.995,0.14037281945065685,2.5205575,Original
6,A1 LM,SHRIMPLIN,2835.5,68.43,0.854,8.3,8.665,4.8,2,0.167,4.514999999999999,12.815,0.16604226198785763,2.5070275,Original
6,A1 LM,SHRIMPLIN,2836.0,75.88,0.849,11.0,10.04,4.6,2,0.148,4.539999999999999,15.54,0.18726727274281268,2.48434,Original
6,A1 LM,SHRIMPLIN,2836.5,77.75,0.864,11.3,10.85,4.7,2,0.13,5.199999999999999,16.5,0.19259489289204304,2.4709749999999997,Original
6,A1 LM,SHRIMPLIN,2837.0,80.93,0.907,9.6,9.815,4.6,2,0.111,5.015,14.614999999999998,0.20165469614046685,2.4880525,Original
6,A1 LM,SHRIMPLIN,2837.5,72.92,0.932,7.3,7.475,4.7,2,0.093,3.8249999999999997,11.125,0.17883424833547484,2.5266625,Original
6,A1 LM,SHRIMPLIN,2838.0,65.59,0.92,5.7,5.265,5.0,2,0.074,2.4149999999999996,8.115,0.1579511169483848,2.5631275,Original
6,A1 LM,SHRIMPLIN,2838.5,64.71,0.886,3.6,4.045,5.4,2,0.056,2.245,5.845,0.15544400158404106,2.5832574999999998,Original
6,A1 LM,SHRIMPLIN,2839.0,60.79,0.829,2.9,4.36,5.5,2,0.037,2.91,5.8100000000000005,0.14427594223378282,2.5780600000000002,Original
6,A1 LM,SHRIMPLIN,2839.5,78.55,0.754,2.0,9.795,5.7,2,0.019,8.795,10.795,0.19487408867781003,2.4883825,Original
3,B1 SH,SHRIMPLIN,2840.0,107.77,0.713,1.8,19.545,4.0,1,1.0,18.645000000000003,20.445,0.27812171475294944,2.3275075,Original
3,B1 SH,SHRIMPLIN,2840.5,110.87,0.686,6.0,26.65,3.3,1,0.974,23.65,29.65,0.28695359842279655,2.210275,Original
3,B1 SH,SHRIMPLIN,2841.0,106.33,0.665,8.6,26.94,2.8,1,0.949,22.64,31.240000000000002,0.2740191623385688,2.2054899999999997,Original
3,B1 SH,SHRIMPLIN,2841.5,87.85,0.64,9.6,21.77,2.7,1,0.923,16.97,26.57,0.22136973968735132,2.290795,Original
3,B1 SH,SHRIMPLIN,2842.0,80.96,0.601,9.0,15.99,2.9,1,0.897,11.49,20.490000000000002,0.20174016598243308,2.3861649999999996,Original
2,B1 SH,SHRIMPLIN,2842.5,66.94,0.568,11.2,12.565,3.5,1,0.872,6.965,18.165,0.16179725983686657,2.4426775,Original
2,B1 SH,SHRIMPLIN,2843.0,61.48,0.561,12.0,11.69,4.2,1,0.846,5.6899999999999995,17.689999999999998,0.14624174859900685,2.4571149999999995,Original
2,B1 SH,SHRIMPLIN,2843.5,58.26,0.568,12.4,12.285,4.2,1,0.821,6.085,18.485,0.1370679855612947,2.4472975,Original
2,B1 SH,SHRIMPLIN,2844.0,51.31,0.585,12.7,11.735,3.9,1,0.795,5.385,18.085,0.11726747217244396,2.4563725,Original
2,B1 SH,SHRIMPLIN,2844.5,67.92,0.583,13.2,11.73,3.9,1,0.769,5.130000000000001,18.33,0.16458927467443113,2.456455,Original
2,B1 SH,SHRIMPLIN,2845.0,67.77,0.566,14.1,12.475,3.9,1,0.744,5.425,19.525,0.16416192546459982,2.4441625,Original
2,B1 SH,SHRIMPLIN,2845.5,67.73,0.543,14.4,13.095,3.8,1,0.718,5.8950000000000005,20.295,0.1640479656753115,2.4339324999999996,Original
2,B1 SH,SHRIMPLIN,2846.0,68.85,0.516,12.1,13.35,3.7,1,0.692,7.3,19.4,0.16723883977538526,2.4297250000000004,Original
2,B1 SH,SHRIMPLIN,2846.5,73.2,0.496,9.7,15.12,3.6,1,0.667,10.27,19.97,0.1796319668604933,2.40052,Original
3,B1 SH,SHRIMPLIN,2847.0,84.46,0.486,6.1,20.48,3.6,1,0.641,17.43,23.53,0.2117116475451637,2.31208,Original
3,B1 SH,SHRIMPLIN,2847.5,96.96,0.483,7.0,23.225,3.4,1,0.615,19.725,26.725,0.24732408169777292,2.2667875,Original
3,B1 SH,SHRIMPLIN,2848.0,95.54,0.486,9.4,21.305,3.5,1,0.59,16.605,26.005,0.24327850917803656,2.2984675,Original
3,B1 SH,SHRIMPLIN,2848.5,88.67,0.493,13.2,17.235,3.4,1,0.564,10.635,23.835,0.2237059153677625,2.3656224999999997,Original
3,B1 SH,SHRIMPLIN,2849.0,88.54,0.501,13.1,16.71,3.5,1,0.538,10.16,23.26,0.22333554605257538,2.374285,Original
3,B1 SH,SHRIMPLIN,2849.5,92.22,0.501,11.2,18.675,3.5,1,0.513,13.075000000000001,24.275,0.2338198466671035,2.3418625,Original
2,B1 SH,SHRIMPLIN,2850.0,89.67,0.491,4.9,20.405,3.3,1,0.487,17.955000000000002,22.855,0.22655491009997125,2.3133174999999997,Original
2,B1 SH,SHRIMPLIN,2850.5,91.17,0.47,2.2,20.3,3.1,1,0.462,19.2,21.400000000000002,0.23082840219828435,2.3150499999999994,Original
2,B1 SH,SHRIMPLIN,2851.0,83.62,0.435,5.1,17.16,2.8,1,0.436,14.61,19.71,0.20931849197010838,2.3668600000000004,Original
2,B1 SH,SHRIMPLIN,2851.5,85.0,0.401,8.3,15.87,2.8,1,0.41,11.719999999999999,20.02,0.21325010470055641,2.388145,Original
2,B1 SH,SHRIMPLIN,2852.0,77.7,0.371,7.5,16.85,2.9,1,0.385,13.100000000000001,20.6,0.1924524431554326,2.371975,Original
2,B1 SH,SHRIMPLIN,2852.5,74.29,0.334,6.1,17.3,2.9,1,0.359,14.25,20.35,0.18273737111860083,2.36455,Original
2,B1 SH,SHRIMPLIN,2853.0,70.21,0.307,5.4,17.57,2.9,1,0.333,14.870000000000001,20.27,0.17111347261118914,2.360095,Original
2,B1 SH,SHRIMPLIN,2853.5,76.38,0.297,4.7,17.195,3.0,1,0.308,14.845,19.545,0.18869177010891708,2.3662824999999996,Original
2,B1 SH,SHRIMPLIN,2854.0,76.28,0.301,4.4,16.415,3.0,1,0.282,14.215,18.615,0.1884068706356962,2.3791524999999996,Original
2,B1 SH,SHRIMPLIN,2854.5,69.04,0.314,4.1,14.19,3.2,1,0.256,12.14,16.24,0.16778014877450495,2.415865,Original
2,B1 SH,SHRIMPLIN,2855.0,78.11,0.338,5.8,13.25,3.4,1,0.231,10.35,16.15,0.1936205309956382,2.4313749999999996,Original
3,B1 SH,SHRIMPLIN,2855.5,84.18,0.377,6.8,15.72,3.8,1,0.205,12.32,19.12,0.21091392902014527,2.3906199999999997,Original
3,B1 SH,SHRIMPLIN,2856.0,85.85,0.428,6.6,20.045,3.5,1,0.179,16.745,23.345000000000002,0.21567175022293383,2.3192575,Original
3,B1 SH,SHRIMPLIN,2856.5,89.6,0.47,4.4,20.455,3.3,1,0.154,18.255,22.654999999999998,0.22635548046871662,2.3124925,Original
3,B1 SH,SHRIMPLIN,2857.0,80.61,0.509,3.6,16.78,3.1,1,0.128,14.98,18.580000000000002,0.20074301782616005,2.37313,Original
3,B1 SH,SHRIMPLIN,2857.5,79.36,0.539,7.5,11.78,3.3,1,0.103,8.03,15.53,0.19718177441089912,2.4556299999999998,Original
3,B1 SH,SHRIMPLIN,2858.0,83.05,0.548,8.1,14.545,3.7,1,0.077,10.495000000000001,18.595,0.20769456497274938,2.4100075,Original
3,B1 SH,SHRIMPLIN,2858.5,95.0,0.556,9.2,23.83,3.6,1,0.051,19.229999999999997,28.43,0.24174005202264381,2.2568050000000004,Original
5,B1 LM,SHRIMPLIN,2859.0,85.04,0.629,6.4,26.67,3.1,2,1.0,23.470000000000002,29.87,0.2133640644898448,2.2099450000000003,Original
5,B1 LM,SHRIMPLIN,2859.5,46.18,0.668,4.3,16.61,3.1,2,0.944,14.459999999999999,18.759999999999998,0.10265212919621312,2.375935,Original
5,B1 LM,SHRIMPLIN,2860.0,34.53,0.703,4.9,8.22,3.5,2,0.889,5.7700000000000005,10.670000000000002,0.0694613405659813,2.5143699999999995,Original
5,B1 LM,SHRIMPLIN,2860.5,35.19,0.744,7.9,4.71,4.6,2,0.833,0.7599999999999998,8.66,0.07134167708923905,2.572285,Original
8,B1 LM,SHRIMPLIN,2861.0,27.85,0.803,7.8,4.24,4.8,2,0.778,0.3400000000000003,8.14,0.05043005575482691,2.5800400000000003,Original
8,B1 LM,SHRIMPLIN,2861.5,23.48,0.913,6.0,4.22,4.7,2,0.722,1.2199999999999998,7.22,0.03797994877507472,2.58037,Original
8,B1 LM,SHRIMPLIN,2862.0,20.42,1.031,5.0,3.785,4.6,2,0.667,1.2850000000000001,6.285,0.02926202489451598,2.5875475,Original
8,B1 LM,SHRIMPLIN,2862.5,20.55,1.147,4.1,3.145,5.1,2,0.611,1.0950000000000002,5.195,0.029632394209703112,2.5981075,Original
8,B1 LM,SHRIMPLIN,2863.0,19.99,1.292,4.7,2.195,5.4,2,0.556,-0.15500000000000025,4.545,0.028036957159666212,2.6137824999999997,Original
8,B1 LM,SHRIMPLIN,2863.5,21.18,1.405,5.2,1.59,5.9,2,0.5,-1.01,4.19,0.03142726089099462,2.6237649999999997,Original
8,B1 LM,SHRIMPLIN,2864.0,18.63,1.452,4.7,1.755,6.1,2,0.444,-0.5950000000000002,4.105,0.024162324323862325,2.6210425,Original
6,B1 LM,SHRIMPLIN,2864.5,29.41,1.465,4.2,2.36,6.0,2,0.389,0.2599999999999998,4.46,0.05487448753707255,2.61106,Original
6,B1 LM,SHRIMPLIN,2865.0,43.09,1.48,3.1,3.11,5.8,2,0.333,1.5599999999999998,4.66,0.09384873547368812,2.5986849999999997,Original
6,B1 LM,SHRIMPLIN,2865.5,48.95,1.479,4.2,2.95,5.6,2,0.278,0.8500000000000001,5.050000000000001,0.11054384460443134,2.601325,Original
6,B1 LM,SHRIMPLIN,2866.0,45.84,1.437,4.1,3.03,5.6,2,0.222,0.98,5.08,0.10168347098726216,2.600005,Original
6,B1 LM,SHRIMPLIN,2866.5,45.04,1.36,4.2,3.02,5.7,2,0.167,0.9199999999999999,5.12,0.09940427520149515,2.60017,Original
6,B1 LM,SHRIMPLIN,2867.0,42.92,1.249,3.6,3.445,5.7,2,0.111,1.6449999999999998,5.245,0.09336440636921263,2.5931575000000002,Original
6,B1 LM,SHRIMPLIN,2867.5,53.11,1.104,3.3,4.095,5.9,2,0.056,2.445,5.744999999999999,0.1223956626904197,2.5824325,Original
3,B2 SH,SHRIMPLIN,2868.0,67.55,0.966,4.2,5.13,5.1,1,1.0,3.03,7.23,0.1635351466235139,2.565355,Original
3,B2 SH,SHRIMPLIN,2868.5,73.99,0.862,6.1,7.84,4.6,1,0.964,4.79,10.89,0.18188267269893818,2.5206399999999998,Original
3,B2 SH,SHRIMPLIN,2869.0,83.09,0.806,9.4,11.2,3.9,1,0.929,6.499999999999999,15.899999999999999,0.20780852476203773,2.4652,Original
3,B2 SH,SHRIMPLIN,2869.5,97.28,0.763,10.5,13.97,3.6,1,0.893,8.72,19.22,0.24823576001207975,2.419495,Original
2,B2 SH,SHRIMPLIN,2870.0,95.16,0.714,9.6,12.96,3.4,1,0.857,8.16,17.76,0.2421958911797972,2.4361599999999997,Original
2,B2 SH,SHRIMPLIN,2870.5,79.88,0.661,8.6,10.425,3.3,1,0.821,6.125000000000001,14.725000000000001,0.19866325167164767,2.4779875,Original
2,B2 SH,SHRIMPLIN,2871.0,76.38,0.602,8.9,8.785,3.5,1,0.786,4.335,13.235,0.18869177010891708,2.5050475,Original
2,B2 SH,SHRIMPLIN,2871.5,75.68,0.561,11.4,10.305,3.6,1,0.75,4.6049999999999995,16.005,0.18669747379637097,2.4799675,Original
2,B2 SH,SHRIMPLIN,2872.0,84.59,0.537,13.4,13.745,3.9,1,0.714,7.044999999999999,20.445,0.21208201686035086,2.4232074999999997,Original
3,B2 SH,SHRIMPLIN,2872.5,103.43,0.525,14.6,16.66,3.9,1,0.679,9.36,23.96,0.26575707761516354,2.37511,Original
3,B2 SH,SHRIMPLIN,2873.0,103.41,0.522,14.7,17.625,3.9,1,0.643,10.275,24.975,0.26570009772051933,2.3591875,Original
3,B2 SH,SHRIMPLIN,2873.5,99.27,0.52,13.0,16.245,3.8,1,0.607,9.745000000000001,22.745,0.25390525952917514,2.3819575000000004,Original
3,B2 SH,SHRIMPLIN,2874.0,92.94,0.516,12.1,14.85,3.7,1,0.571,8.8,20.9,0.23587112287429382,2.404975,Original
3,B2 SH,SHRIMPLIN,2874.5,92.9,0.507,11.4,13.27,3.8,1,0.536,7.569999999999999,18.97,0.2357571630850055,2.4310449999999997,Original
3,B2 SH,SHRIMPLIN,2875.0,80.32,0.504,11.0,12.48,3.7,1,0.5,6.98,17.98,0.1999168093538195,2.44408,Original
2,B2 SH,SHRIMPLIN,2875.5,83.63,0.512,10.1,11.525,4.0,1,0.464,6.4750000000000005,16.575,0.20934698191743042,2.4598375,Original
2,B2 SH,SHRIMPLIN,2876.0,67.81,0.529,9.4,11.31,4.1,1,0.429,6.61,16.01,0.16427588525388817,2.463385,Original
2,B2 SH,SHRIMPLIN,2876.5,67.88,0.559,9.7,10.865,4.3,1,0.393,6.015000000000001,15.715,0.16447531488514278,2.4707274999999997,Original
2,B2 SH,SHRIMPLIN,2877.0,64.39,0.589,8.4,10.365,4.4,1,0.357,6.165,14.565000000000001,0.1545323232697343,2.4789775,Original
2,B2 SH,SHRIMPLIN,2877.5,61.99,0.604,6.9,9.385,4.4,1,0.321,5.935,12.835,0.14769473591243332,2.4951475000000003,Original
2,B2 SH,SHRIMPLIN,2878.0,62.5,0.604,5.5,8.53,4.3,1,0.286,5.779999999999999,11.28,0.14914772322585976,2.5092550000000005,Original
2,B2 SH,SHRIMPLIN,2878.5,58.64,0.58,5.3,8.6,4.2,1,0.25,5.949999999999999,11.25,0.138150603559534,2.5080999999999998,Original
2,B2 SH,SHRIMPLIN,2879.0,64.04,0.543,5.7,9.98,4.0,1,0.214,7.130000000000001,12.83,0.15353517511346124,2.48533,Original
2,B2 SH,SHRIMPLIN,2879.5,78.8,0.519,5.4,13.745,3.7,1,0.179,11.044999999999998,16.445,0.19558633736086223,2.4232074999999997,Original
3,B2 SH,SHRIMPLIN,2880.0,78.88,0.502,2.0,21.885,3.7,1,0.143,20.885,22.885,0.1958142569394389,2.2888975,Original
3,B2 SH,SHRIMPLIN,2880.5,86.88,0.5,-3.8,33.79,3.2,1,0.107,35.69,31.89,0.21860621479710884,2.092465,Original
