Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Predicted_PE
3,B1 SH,ALEXANDER D,2944.0,75.89,0.714,9.6,12.83,,1,0.719,3.3049299999999993
3,B1 SH,ALEXANDER D,2944.5,79.81,0.708,8.2,13.335,,1,0.688,3.202199999999999
3,B1 SH,ALEXANDER D,2945.0,81.22,0.702,7.2,12.765,,1,0.656,3.20855
3,B1 SH,ALEXANDER D,2945.5,80.73,0.689,7.2,12.065,,1,0.625,3.29816
3,B1 SH,ALEXANDER D,2946.0,80.21,0.679,7.3,11.605,,1,0.594,3.43514
2,B1 SH,ALEXANDER D,2946.5,79.31,0.667,7.5,11.49,,1,0.563,3.4707299999999996
2,B1 SH,ALEXANDER D,2947.0,77.91,0.655,7.2,11.755,,1,0.531,3.454479999999998
2,B1 SH,ALEXANDER D,2947.5,75.57,0.641,6.6,11.25,,1,0.5,3.4151499999999984
2,B1 SH,ALEXANDER D,2948.0,72.63,0.625,5.8,10.46,,1,0.469,3.4673299999999987
2,B1 SH,ALEXANDER D,2948.5,69.14,0.607,5.6,10.285,,1,0.438,3.4144999999999994
2,B1 SH,ALEXANDER D,2949.0,65.21,0.589,4.7,10.23,,1,0.406,3.446420000000002
2,B1 SH,ALEXANDER D,2949.5,60.86,0.571,4.0,10.185,,1,0.375,3.381219999999999
2,B1 SH,ALEXANDER D,2950.0,57.85,0.551,4.7,9.525,,1,0.344,3.661739999999998
2,B1 SH,ALEXANDER D,2950.5,59.87,0.531,5.0,9.17,,1,0.313,3.656799999999998
2,B1 SH,ALEXANDER D,2951.0,63.55,0.512,7.2,9.93,,1,0.281,3.7625299999999995
2,B1 SH,ALEXANDER D,2951.5,69.27,0.496,8.1,11.3,,1,0.25,3.3279500000000035
2,B1 SH,ALEXANDER D,2952.0,79.55,0.473,8.2,13.005,,1,0.219,3.2516799999999986
2,B1 SH,ALEXANDER D,2952.5,84.75,0.447,10.1,13.945,,1,0.188,3.518589999999999
2,B1 SH,ALEXANDER D,2953.0,86.1,0.438,11.6,14.59,,1,0.156,3.597509999999998
2,B1 SH,ALEXANDER D,2953.5,87.01,0.464,12.1,15.205,,1,0.125,3.6675100000000005
3,B1 SH,ALEXANDER D,2954.0,87.46,0.614,6.2,18.555,,1,0.094,3.31605
3,B1 SH,ALEXANDER D,2954.5,85.24,0.667,6.9,19.51,,1,0.063,3.37781
3,B1 SH,ALEXANDER D,2955.0,78.97,0.721,8.5,20.405,,1,0.031,3.5153099999999995
2,B1 SH,ALEXANDER D,2955.5,78.97,0.721,8.5,20.405,,1,0.031,3.5368000000000013
8,B1 LM,ALEXANDER D,2956.0,67.92,0.795,9.2,19.835,,2,1.0,3.3325699999999956
8,B1 LM,ALEXANDER D,2956.5,50.23,0.878,5.1,11.71,,2,0.952,4.293010000000001
8,B1 LM,ALEXANDER D,2957.0,28.31,0.957,5.4,8.42,,2,0.905,4.827990000000001
8,B1 LM,ALEXANDER D,2957.5,23.76,0.983,4.4,7.42,,2,0.857,4.72076
8,B1 LM,ALEXANDER D,2958.0,21.89,1.004,4.3,7.245,,2,0.81,4.695150000000001
8,B1 LM,ALEXANDER D,2958.5,20.94,1.016,3.3,7.44,,2,0.762,4.674729999999998
8,B1 LM,ALEXANDER D,2959.0,20.93,1.015,3.0,7.31,,2,0.714,4.723519999999998
8,B1 LM,ALEXANDER D,2959.5,22.27,0.922,2.8,7.005,,2,0.667,4.69376
8,B1 LM,ALEXANDER D,2960.0,26.48,0.885,2.7,6.79,,2,0.619,4.551140000000002
8,B1 LM,ALEXANDER D,2960.5,27.04,0.866,3.3,6.84,,2,0.571,4.338580000000002
6,B1 LM,ALEXANDER D,2961.0,29.7,0.848,4.4,7.2,,2,0.524,4.335289999999998
5,B1 LM,ALEXANDER D,2961.5,36.65,0.834,5.8,7.665,,2,0.476,4.335579999999999
5,B1 LM,ALEXANDER D,2962.0,38.96,0.894,6.6,7.855,,2,0.429,4.3902800000000015
5,B1 LM,ALEXANDER D,2962.5,38.94,0.947,6.9,7.745,,2,0.381,4.559000000000001
6,B1 LM,ALEXANDER D,2963.0,38.93,0.97,6.0,6.96,,2,0.333,4.813429999999999
6,B1 LM,ALEXANDER D,2963.5,39.54,0.914,4.9,5.64,,2,0.286,4.783600000000002
8,B1 LM,ALEXANDER D,2964.0,40.03,0.868,4.3,4.76,,2,0.238,4.606170000000002
8,B1 LM,ALEXANDER D,2964.5,41.75,0.827,4.2,4.53,,2,0.19,4.539040000000003
8,B1 LM,ALEXANDER D,2965.0,44.91,0.785,4.2,4.57,,2,0.143,4.454120000000004
8,B1 LM,ALEXANDER D,2965.5,58.36,0.741,4.3,4.625,,2,0.095,4.138400000000001
4,B1 LM,ALEXANDER D,2966.0,71.82,0.716,4.5,5.065,,2,0.048,4.724319999999999
3,B2 SH,ALEXANDER D,2966.5,81.13,0.697,7.0,7.925,,1,1.0,3.8652700000000006
3,B2 SH,ALEXANDER D,2967.0,88.32,0.68,9.6,11.79,,1,0.957,3.3273999999999995
3,B2 SH,ALEXANDER D,2967.5,90.49,0.663,7.7,13.675,,1,0.913,3.052729999999999
3,B2 SH,ALEXANDER D,2968.0,90.26,0.638,7.0,14.01,,1,0.87,3.0721900000000004
3,B2 SH,ALEXANDER D,2968.5,89.38,0.61,6.9,13.45,,1,0.826,3.1148399999999996
3,B2 SH,ALEXANDER D,2969.0,88.92,0.561,8.6,12.73,,1,0.783,3.145580000000001
3,B2 SH,ALEXANDER D,2969.5,89.37,0.5,9.8,12.52,,1,0.739,3.3501799999999986
3,B2 SH,ALEXANDER D,2970.0,92.6,0.418,9.4,13.625,,1,0.696,3.2422199999999988
3,B2 SH,ALEXANDER D,2970.5,101.17,0.384,10.2,14.655,,1,0.652,3.240039999999997
3,B2 SH,ALEXANDER D,2971.0,110.95,0.352,12.7,16.07,,1,0.609,3.3582499999999977
3,B2 SH,ALEXANDER D,2971.5,112.65,0.344,16.5,18.115,,1,0.565,3.5464499999999965
3,B2 SH,ALEXANDER D,2972.0,113.04,0.378,15.5,19.145,,1,0.522,3.496449999999994
3,B2 SH,ALEXANDER D,2972.5,112.5,0.413,8.1,22.875,,1,0.478,3.20862
3,B2 SH,ALEXANDER D,2973.0,109.7,0.449,6.5,22.745,,1,0.435,3.2373900000000004
3,B2 SH,ALEXANDER D,2973.5,105.04,0.473,6.4,22.595,,1,0.391,3.298160000000001
3,B2 SH,ALEXANDER D,2974.0,98.57,0.497,6.3,22.305,,1,0.348,3.299220000000001
3,B2 SH,ALEXANDER D,2974.5,88.41,0.509,5.3,18.38,,1,0.304,3.0825700000000014
2,B2 SH,ALEXANDER D,2975.0,81.26,0.519,4.0,15.185,,1,0.261,3.1239899999999996
2,B2 SH,ALEXANDER D,2975.5,77.18,0.521,2.7,14.155,,1,0.217,3.14096
2,B2 SH,ALEXANDER D,2976.0,73.22,0.524,0.1,13.19,,1,0.174,3.17066
2,B2 SH,ALEXANDER D,2976.5,69.67,0.56,-4.4,15.205,,1,0.13,3.0007499999999987
3,B2 SH,ALEXANDER D,2977.0,64.08,0.618,-4.7,20.42,,1,0.087,3.067839999999998
3,B2 SH,ALEXANDER D,2977.5,58.49,0.679,-1.4,20.12,,1,0.043,3.3547499999999983
5,B2 LM,ALEXANDER D,2978.0,37.39,0.728,1.4,11.565,,2,1.0,4.104330000000003
5,B2 LM,ALEXANDER D,2978.5,15.38,0.759,1.2,11.245,,2,0.95,4.042980000000002
8,B2 LM,ALEXANDER D,2979.0,13.87,0.769,1.7,10.85,,2,0.9,4.74749
8,B2 LM,ALEXANDER D,2979.5,13.94,0.771,3.3,9.9,,2,0.85,4.946469999999999
8,B2 LM,ALEXANDER D,2980.0,15.34,0.771,3.2,9.74,,2,0.8,5.074060000000002
8,B2 LM,ALEXANDER D,2980.5,18.94,0.769,2.8,9.505,,2,0.75,5.113369999999998
8,B2 LM,ALEXANDER D,2981.0,21.24,0.764,1.4,9.565,,2,0.7,4.86279
8,B2 LM,ALEXANDER D,2981.5,22.62,0.764,0.6,9.815,,2,0.65,4.842470000000001
8,B2 LM,ALEXANDER D,2982.0,21.9,0.77,0.6,9.76,,2,0.6,4.9198
8,B2 LM,ALEXANDER D,2982.5,21.67,0.806,0.6,9.64,,2,0.55,4.946679999999999
8,B2 LM,ALEXANDER D,2983.0,21.78,0.857,0.3,9.21,,2,0.5,5.0192200000000025
8,B2 LM,ALEXANDER D,2983.5,22.17,0.885,0.7,8.565,,2,0.45,4.988280000000003
8,B2 LM,ALEXANDER D,2984.0,22.56,0.906,0.8,7.955,,2,0.4,4.977630000000002
8,B2 LM,ALEXANDER D,2984.5,23.93,0.915,1.0,7.5,,2,0.35,4.95573
8,B2 LM,ALEXANDER D,2985.0,27.17,0.91,0.9,7.26,,2,0.3,4.5941399999999994
8,B2 LM,ALEXANDER D,2985.5,31.22,0.851,0.5,7.01,,2,0.25,4.576409999999999
8,B2 LM,ALEXANDER D,2986.0,37.79,0.785,-0.1,7.075,,2,0.2,4.3082699999999985
6,B2 LM,ALEXANDER D,2986.5,51.83,0.672,-0.2,7.25,,2,0.15,4.016769999999998
6,B2 LM,ALEXANDER D,2987.0,69.13,0.534,4.5,9.81,,2,0.1,3.8479199999999985
8,B2 LM,ALEXANDER D,2987.5,87.71,0.391,9.1,12.365,,2,0.05,4.238519999999997
3,B3 SH,ALEXANDER D,2988.0,94.42,0.33,8.8,18.165,,1,1.0,3.142529999999999
3,B3 SH,ALEXANDER D,2988.5,100.7,0.31,5.9,23.165,,1,0.963,2.8300199999999993
3,B3 SH,ALEXANDER D,2989.0,103.11,0.292,7.3,22.76,,1,0.926,2.9555299999999964
3,B3 SH,ALEXANDER D,2989.5,104.14,0.312,6.4,21.565,,1,0.889,2.905859999999998
3,B3 SH,ALEXANDER D,2990.0,102.97,0.324,5.0,20.26,,1,0.852,2.7676999999999996
3,B3 SH,ALEXANDER D,2990.5,99.0,0.346,4.1,19.565,,1,0.815,2.7117300000000006
3,B3 SH,ALEXANDER D,2991.0,96.66,0.369,3.5,19.015,,1,0.778,2.621190000000001
3,B3 SH,ALEXANDER D,2991.5,94.79,0.393,9.2,15.415,,1,0.741,3.212999999999999
2,B3 SH,ALEXANDER D,2992.0,82.52,0.428,7.9,15.64,,1,0.704,3.1267200000000015
2,B3 SH,ALEXANDER D,2992.5,77.61,0.456,2.6,13.58,,1,0.667,2.8461800000000004
2,B3 SH,ALEXANDER D,2993.0,75.55,0.494,2.7,12.0,,1,0.63,3.112839999999999
2,B3 SH,ALEXANDER D,2993.5,74.77,0.537,3.5,11.51,,1,0.593,3.2944699999999982
2,B3 SH,ALEXANDER D,2994.0,76.3,0.569,5.2,12.03,,1,0.556,3.35291
2,B3 SH,ALEXANDER D,2994.5,79.38,0.606,4.8,13.775,,1,0.519,3.38109
2,B3 SH,ALEXANDER D,2995.0,80.76,0.638,4.4,14.53,,1,0.481,3.1689800000000012
2,B3 SH,ALEXANDER D,2995.5,80.75,0.655,4.2,13.82,,1,0.444,3.24297
2,B3 SH,ALEXANDER D,2996.0,78.97,0.67,4.0,11.185,,1,0.407,3.199029999999999
2,B3 SH,ALEXANDER D,2996.5,74.62,0.661,4.2,10.615,,1,0.37,3.3123300000000024
2,B3 SH,ALEXANDER D,2997.0,72.21,0.643,3.7,10.69,,1,0.333,3.246900000000001
2,B3 SH,ALEXANDER D,2997.5,72.65,0.624,2.6,11.085,,1,0.296,3.24471
2,B3 SH,ALEXANDER D,2998.0,78.02,0.604,2.9,11.185,,1,0.259,3.219949999999999
2,B3 SH,ALEXANDER D,2998.5,83.45,0.589,5.3,11.95,,1,0.222,3.3266299999999998
2,B3 SH,ALEXANDER D,2999.0,84.37,0.571,7.1,12.69,,1,0.185,3.423210000000001
2,B3 SH,ALEXANDER D,2999.5,76.3,0.563,8.1,12.975,,1,0.148,3.3008300000000004
3,B3 SH,ALEXANDER D,3000.0,67.17,0.616,9.0,13.23,,1,0.111,3.4055899999999992
3,B3 SH,ALEXANDER D,3000.5,58.04,0.69,9.3,12.135,,1,0.074,3.54814
3,B3 SH,ALEXANDER D,3001.0,47.67,0.749,8.3,9.755,,1,0.037,3.9425299999999974
3,B3 SH,ALEXANDER D,3001.5,36.2,0.787,5.0,8.545,,1,0.0,4.30169
8,B3 LM,ALEXANDER D,3002.0,36.2,0.787,5.0,8.545,,2,1.0,4.085229999999998
8,B3 LM,ALEXANDER D,3002.5,33.43,0.803,2.3,8.365,,2,0.667,4.351860000000004
8,B3 LM,ALEXANDER D,3003.0,34.13,0.797,2.2,8.58,,2,0.333,4.518810000000003
2,B4 SH,ALEXANDER D,3003.5,38.89,0.784,5.1,8.17,,1,1.0,4.2597400000000025
2,B4 SH,ALEXANDER D,3004.0,50.61,0.766,5.6,7.995,,1,0.958,3.6223300000000016
2,B4 SH,ALEXANDER D,3004.5,59.35,0.747,5.1,8.205,,1,0.917,3.492940000000001
2,B4 SH,ALEXANDER D,3005.0,64.74,0.728,4.5,8.505,,1,0.875,3.4590700000000023
2,B4 SH,ALEXANDER D,3005.5,71.24,0.707,4.0,8.925,,1,0.833,3.372300000000002
2,B4 SH,ALEXANDER D,3006.0,72.62,0.685,4.3,9.675,,1,0.792,3.3987400000000014
2,B4 SH,ALEXANDER D,3006.5,77.63,0.661,4.8,10.675,,1,0.75,3.4198399999999993
2,B4 SH,ALEXANDER D,3007.0,84.78,0.617,4.8,11.425,,1,0.708,3.2999999999999985
2,B4 SH,ALEXANDER D,3007.5,88.14,0.589,5.0,11.935,,1,0.667,3.2249600000000016
2,B4 SH,ALEXANDER D,3008.0,89.78,0.554,5.3,12.21,,1,0.625,3.2926800000000025
2,B4 SH,ALEXANDER D,3008.5,86.7,0.52,4.8,11.29,,1,0.583,3.32204
2,B4 SH,ALEXANDER D,3009.0,78.2,0.493,4.9,10.755,,1,0.542,3.3554700000000004
2,B4 SH,ALEXANDER D,3009.5,73.68,0.47,4.4,10.79,,1,0.5,3.22986
2,B4 SH,ALEXANDER D,3010.0,72.57,0.456,3.7,11.08,,1,0.458,3.1457899999999976
2,B4 SH,ALEXANDER D,3010.5,77.21,0.444,3.5,11.495,,1,0.417,3.1092099999999987
2,B4 SH,ALEXANDER D,3011.0,81.84,0.444,3.6,11.985,,1,0.375,3.0307799999999987
2,B4 SH,ALEXANDER D,3011.5,83.79,0.438,4.0,12.38,,1,0.333,2.98642
2,B4 SH,ALEXANDER D,3012.0,84.57,0.438,4.3,12.78,,1,0.292,3.02695
2,B4 SH,ALEXANDER D,3012.5,85.68,0.431,4.4,13.26,,1,0.25,3.0227499999999985
2,B4 SH,ALEXANDER D,3013.0,86.46,0.431,5.2,14.46,,1,0.208,2.96337
2,B4 SH,ALEXANDER D,3013.5,86.45,0.431,7.0,16.615,,1,0.167,3.21524
2,B4 SH,ALEXANDER D,3014.0,85.52,0.431,9.1,17.94,,1,0.125,3.250610000000001
2,B4 SH,ALEXANDER D,3014.5,65.56,0.441,9.3,18.225,,1,0.083,3.059069999999999
2,B4 SH,ALEXANDER D,3015.0,43.49,0.549,6.3,17.055,,1,0.042,3.714019999999999
8,B4 LM,ALEXANDER D,3015.5,31.57,0.617,-0.1,14.37,,2,1.0,3.9165499999999986
8,B4 LM,ALEXANDER D,3016.0,29.3,0.621,-2.3,13.62,,2,0.833,4.293800000000001
8,B4 LM,ALEXANDER D,3016.5,27.9,0.627,-0.6,12.335,,2,0.667,4.724820000000002
8,B4 LM,ALEXANDER D,3017.0,40.33,0.627,1.3,11.47,,2,0.5,4.56768
8,B4 LM,ALEXANDER D,3017.5,54.83,0.627,3.5,11.895,,2,0.333,4.373060000000001
8,B4 LM,ALEXANDER D,3018.0,69.32,0.617,12.1,16.105,,2,0.167,3.6058599999999967
3,B5 SH,ALEXANDER D,3018.5,83.21,0.594,14.4,19.345,,1,1.0,3.445310000000002
