Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,PHID,NPHI,VSH,Bulk Density,Predicted_PE
7,A1 LM,ALEXANDER D,2908.0,26.51,0.29,7.1,10.91,,2,0.969,7.36,14.46,0.046612402813667214,2.4699850000000003,4.077940000000001
7,A1 LM,ALEXANDER D,2908.5,29.78,0.265,8.1,9.05,,2,0.954,5.000000000000001,13.100000000000001,0.05592861558798978,2.5006749999999998,3.851669999999999
6,A1 LM,ALEXANDER D,2909.0,33.06,0.248,8.6,8.275,,2,0.938,3.9750000000000005,12.575,0.06527331830963445,2.5134624999999997,3.779009999999999
6,A1 LM,ALEXANDER D,2910.0,37.78,0.22,9.2,8.05,,2,0.908,3.450000000000001,12.65,0.0787205734456597,2.5171749999999995,3.8995800000000007
6,A1 LM,ALEXANDER D,2910.5,40.84,0.212,14.8,10.76,,2,0.892,3.3599999999999994,18.16,0.08743849732621846,2.47246,3.604969999999999
7,A1 LM,ALEXANDER D,2911.0,44.08,0.207,16.0,11.275,,2,0.877,3.2750000000000004,19.275,0.09666924025857476,2.4639625,3.597389999999999
7,A1 LM,ALEXANDER D,2911.5,48.24,0.21,9.8,14.97,,2,0.862,10.07,19.87,0.10852105834456313,2.402995,3.59366
7,A1 LM,ALEXANDER D,2912.0,51.21,0.228,8.1,16.025,,2,0.846,11.974999999999998,20.075,0.11698257269922309,2.3855874999999997,3.517540000000001
7,A1 LM,ALEXANDER D,2912.5,55.57,0.253,7.9,15.985,,2,0.831,12.035,19.935,0.12940418973165319,2.3862474999999996,3.4897200000000015
4,A1 LM,ALEXANDER D,2913.0,64.21,0.299,7.4,15.785,,2,0.815,12.085,19.485,0.1540195042179367,2.3895474999999995,3.4732800000000004
4,A1 LM,ALEXANDER D,2913.5,78.65,0.398,8.2,13.805,,2,0.8,9.705,17.905,0.19515898815103094,2.4222175000000004,3.4216999999999977
4,A1 LM,ALEXANDER D,2914.0,97.66,0.52,9.7,12.34,,2,0.785,7.49,17.189999999999998,0.24931837801031906,2.44639,3.2350899999999982
4,A1 LM,ALEXANDER D,2914.5,101.57,0.636,10.1,12.02,,2,0.769,6.97,17.07,0.26045794741325523,2.45167,3.3998899999999987
4,A1 LM,ALEXANDER D,2915.0,102.02,0.679,9.4,11.33,,2,0.754,6.63,16.03,0.2617399950427492,2.463055,3.5899099999999966
4,A1 LM,ALEXANDER D,2915.5,100.87,0.658,7.6,10.135,,2,0.738,6.335,13.934999999999999,0.2584636511007091,2.4827725,3.4380600000000006
8,A1 LM,ALEXANDER D,2916.0,88.36,0.646,7.0,9.58,,2,0.723,6.08,13.08,0.2228227270007778,2.49193,4.04556
6,A1 LM,ALEXANDER D,2916.5,73.88,0.635,5.2,10.145,,2,0.708,7.545,12.745,0.18156928327839522,2.4826074999999994,3.5040300000000006
6,A1 LM,ALEXANDER D,2917.0,62.49,0.635,4.2,10.515,,2,0.692,8.415000000000001,12.615,0.14911923327853768,2.4765025,3.384939999999999
5,A1 LM,ALEXANDER D,2917.5,61.08,0.641,4.5,10.465,,2,0.677,8.215,12.715,0.14510215070612334,2.4773275,3.384279999999998
5,A1 LM,ALEXANDER D,2918.0,64.32,0.66,6.7,10.575,,2,0.662,7.225,13.924999999999999,0.15433289363847966,2.4755125,3.4037799999999994
6,A1 LM,ALEXANDER D,2918.5,66.04,0.671,9.1,11.38,,2,0.646,6.830000000000001,15.93,0.15923316457787873,2.46223,3.5372999999999983
6,A1 LM,ALEXANDER D,2919.0,66.61,0.691,10.8,12.17,,2,0.631,6.77,17.57,0.16085709157523767,2.449195,3.7323699999999973
6,A1 LM,ALEXANDER D,2919.5,66.14,0.713,11.6,12.41,,2,0.615,6.61,18.21,0.15951806405109958,2.445235,3.8623500000000006
8,A1 LM,ALEXANDER D,2920.0,68.24,0.735,10.0,11.64,,2,0.6,6.640000000000001,16.64,0.16550095298873793,2.45794,3.9672499999999986
8,A1 LM,ALEXANDER D,2920.5,70.81,0.752,5.9,10.36,,2,0.585,7.409999999999999,13.309999999999999,0.1728228694505144,2.47906,4.7039800000000005
8,A1 LM,ALEXANDER D,2921.0,72.59,0.757,3.7,10.405,,2,0.569,8.555,12.254999999999999,0.17789408007384597,2.4783175,4.496150000000001
8,A1 LM,ALEXANDER D,2921.5,77.22,0.769,2.5,10.465,,2,0.554,9.215,11.715,0.19108492568397242,2.4773275,4.502430000000003
8,A1 LM,ALEXANDER D,2922.0,101.82,0.762,1.8,10.6,,2,0.538,9.7,11.5,0.2611701960963074,2.4751,4.793470000000003
8,A1 LM,ALEXANDER D,2922.5,115.43,0.756,1.0,10.755,,2,0.523,10.255,11.255,0.29994501440166843,2.4725424999999994,4.9005200000000055
6,A1 LM,ALEXANDER D,2923.0,119.82,0.725,0.5,10.775,,2,0.508,10.525,11.025,0.31245210127606476,2.4722124999999995,4.58572
6,A1 LM,ALEXANDER D,2923.5,120.82,0.675,0.6,10.315,,2,0.492,10.014999999999999,10.615,0.3153010960082735,2.4798025,4.595949999999999
5,A1 LM,ALEXANDER D,2924.0,118.48,0.619,1.8,9.51,,2,0.477,8.61,10.41,0.30863444833490505,2.4930849999999998,3.9630399999999986
5,A1 LM,ALEXANDER D,2924.5,89.64,0.571,2.4,9.555,,2,0.462,8.355,10.754999999999999,0.22646944025800497,2.4923424999999995,3.9500799999999976
6,A1 LM,ALEXANDER D,2925.0,60.79,0.53,3.3,9.86,,2,0.446,8.209999999999999,11.51,0.14427594223378282,2.4873099999999995,3.878879999999998
6,A1 LM,ALEXANDER D,2925.5,33.46,0.501,4.3,10.16,,2,0.431,8.01,12.31,0.06641291620251795,2.48236,3.8890999999999996
5,A1 LM,ALEXANDER D,2926.0,27.41,0.483,5.0,10.62,,2,0.415,8.12,13.12,0.049176498072655075,2.47477,3.90348
6,A1 LM,ALEXANDER D,2926.5,24.14,0.471,5.3,11.3,,2,0.4,8.65,13.950000000000001,0.03986028529833249,2.46355,4.166869999999999
6,A1 LM,ALEXANDER D,2927.0,24.6,0.458,5.8,12.115,,2,0.385,9.215,15.015,0.04117082287514851,2.4501025,4.138249999999998
6,A1 LM,ALEXANDER D,2927.5,24.58,0.455,4.0,13.465,,2,0.369,11.465,15.465,0.04111384298050433,2.4278275000000002,4.465540000000002
6,A1 LM,ALEXANDER D,2928.0,23.59,0.47,2.8,14.2,,2,0.354,12.799999999999999,15.6,0.03829333819561768,2.4156999999999997,3.949180000000002
6,A1 LM,ALEXANDER D,2928.5,23.16,0.513,1.8,14.145,,2,0.338,13.245,15.045,0.037068270460767924,2.4166075,3.460910000000003
6,A1 LM,ALEXANDER D,2929.0,23.61,0.555,1.0,13.805,,2,0.323,13.305,14.305,0.038350318090261855,2.4222175000000004,3.7499400000000005
6,A1 LM,ALEXANDER D,2929.5,24.99,0.604,0.3,13.48,,2,0.308,13.33,13.63,0.04228193082070991,2.42758,3.9074600000000026
6,A1 LM,ALEXANDER D,2930.0,26.45,0.635,0.9,12.775,,2,0.292,12.325000000000001,13.225,0.046441463129734684,2.4392124999999996,3.811870000000001
8,A1 LM,ALEXANDER D,2930.5,28.39,0.661,1.7,12.095,,2,0.277,11.245000000000001,12.945,0.05196851291021963,2.4504325000000002,4.667590000000002
6,A1 LM,ALEXANDER D,2931.0,31.6,0.679,2.1,11.665,,2,0.262,10.614999999999998,12.715,0.06111378600060969,2.4575275,3.44858
6,A1 LM,ALEXANDER D,2931.5,35.71,0.696,2.3,11.39,,2,0.246,10.24,12.540000000000001,0.07282315434998761,2.462065,3.4829299999999996
5,A1 LM,ALEXANDER D,2932.0,41.34,0.702,2.8,11.395,,2,0.231,9.995,12.795,0.08886299469232282,2.4619825,3.5066200000000003
6,A1 LM,ALEXANDER D,2932.5,46.73,0.708,4.4,11.895,,2,0.215,9.695,14.094999999999999,0.10421907629892792,2.4537324999999996,3.431300000000001
6,A1 LM,ALEXANDER D,2933.0,54.15,0.72,5.6,11.94,,2,0.2,9.14,14.739999999999998,0.12535861721191677,2.4529900000000002,3.5975099999999984
6,A1 LM,ALEXANDER D,2933.5,60.63,0.739,9.2,10.59,,2,0.185,5.99,15.19,0.14382010307662943,2.475265,4.083659999999999
4,A1 LM,ALEXANDER D,2934.0,65.2,0.774,11.3,11.15,,2,0.169,5.5,16.8,0.15684000900282338,2.4660249999999997,4.2585500000000005
4,A1 LM,ALEXANDER D,2934.5,72.19,0.803,12.1,11.505,,2,0.154,5.455000000000001,17.555,0.17675448218096246,2.4601675,4.125870000000001
4,A1 LM,ALEXANDER D,2935.0,78.39,0.825,11.7,11.98,,2,0.138,6.130000000000001,17.83,0.19441824952065664,2.45233,4.09399
4,A1 LM,ALEXANDER D,2935.5,82.48,0.836,9.7,12.595,,2,0.123,7.745000000000001,17.445,0.2060706379753904,2.4421825,4.082309999999999
4,A1 LM,ALEXANDER D,2936.0,83.8,0.811,7.6,13.18,,2,0.108,9.379999999999999,16.98,0.20983131102190591,2.43253,3.75337
4,A1 LM,ALEXANDER D,2936.5,84.86,0.78,6.8,13.15,,2,0.092,9.75,16.55,0.2128512454380472,2.433025,3.59407
6,A1 LM,ALEXANDER D,2937.0,84.28,0.755,7.4,11.64,,2,0.077,7.94,15.34,0.21119882849336613,2.45794,3.6933199999999995
6,A1 LM,ALEXANDER D,2937.5,78.32,0.739,4.3,9.2,,2,0.062,7.049999999999999,11.35,0.194218819889402,2.4982,4.00501
6,A1 LM,ALEXANDER D,2938.0,70.15,0.727,4.1,8.565,,2,0.046,6.515,10.614999999999998,0.17094253292725664,2.5086774999999997,3.9666899999999954
8,A1 LM,ALEXANDER D,2938.5,66.53,0.721,3.4,8.37,,2,0.031,6.669999999999999,10.069999999999999,0.160629171996661,2.511895,3.834930000000002
8,A1 LM,ALEXANDER D,2939.0,69.31,0.717,6.4,10.21,,2,0.015,7.010000000000001,13.41,0.1685493773522013,2.481535,3.8506899999999975
3,B1 SH,ALEXANDER D,2939.5,78.58,0.717,8.4,12.53,,1,1.0,8.329999999999998,16.73,0.1949595585197763,2.443255,3.5555699999999977
3,B1 SH,ALEXANDER D,2940.0,81.81,0.717,8.6,15.21,,1,0.969,10.91,19.51,0.20416181150481055,2.3990349999999996,3.333959999999998
3,B1 SH,ALEXANDER D,2940.5,82.02,0.716,4.5,15.43,,1,0.938,13.18,17.68,0.20476010039857437,2.3954050000000002,3.082469999999999
2,B1 SH,ALEXANDER D,2941.0,75.3,0.722,4.9,13.615,,1,0.906,11.165,16.065,0.18561485579813164,2.4253525,3.0752400000000004
2,B1 SH,ALEXANDER D,2941.5,66.45,0.722,6.8,12.37,,1,0.875,8.969999999999999,15.77,0.16040125241808428,2.4458949999999997,3.3124700000000002
2,B1 SH,ALEXANDER D,2942.0,63.91,0.722,7.4,11.865,,1,0.844,8.165,15.565000000000001,0.15316480579827407,2.4542275,3.395239999999999
2,B1 SH,ALEXANDER D,2942.5,64.11,0.721,7.9,11.92,,1,0.813,7.97,15.870000000000001,0.15373460474471584,2.45332,3.356699999999999
2,B1 SH,ALEXANDER D,2943.0,66.41,0.721,9.0,12.185,,1,0.781,7.6850000000000005,16.685000000000002,0.16028729262879593,2.4489474999999996,3.28969
3,B1 SH,ALEXANDER D,2943.5,72.43,0.721,9.9,12.38,,1,0.75,7.430000000000001,17.330000000000002,0.17743824091669258,2.44573,3.4054499999999983
3,B1 SH,ALEXANDER D,2944.0,75.89,0.714,9.6,12.83,,1,0.719,8.030000000000001,17.63,0.1872957626901348,2.4383049999999997,3.304929999999999
3,B1 SH,ALEXANDER D,2944.5,79.81,0.708,8.2,13.335,,1,0.688,9.235000000000001,17.435000000000002,0.19846382204039306,2.4299725,3.202199999999999
3,B1 SH,ALEXANDER D,2945.0,81.22,0.702,7.2,12.765,,1,0.656,9.165000000000001,16.365000000000002,0.20248090461280738,2.4393775,3.20855
3,B1 SH,ALEXANDER D,2945.5,80.73,0.689,7.2,12.065,,1,0.625,8.465,15.665,0.20108489719402511,2.4509274999999997,3.29816
3,B1 SH,ALEXANDER D,2946.0,80.21,0.679,7.3,11.605,,1,0.594,7.955,15.255,0.19960341993327654,2.4585175,3.43514
2,B1 SH,ALEXANDER D,2946.5,79.31,0.667,7.5,11.49,,1,0.563,7.74,15.24,0.1970393246742887,2.460415,3.4707299999999996
2,B1 SH,ALEXANDER D,2947.0,77.91,0.655,7.2,11.755,,1,0.531,8.155000000000001,15.355,0.19305073204919646,2.4560424999999997,3.4544799999999984
2,B1 SH,ALEXANDER D,2947.5,75.57,0.641,6.6,11.25,,1,0.5,7.95,14.55,0.18638408437582799,2.4643749999999995,3.4151499999999975
2,B1 SH,ALEXANDER D,2948.0,72.63,0.625,5.8,10.46,,1,0.469,7.5600000000000005,13.360000000000001,0.1780080398631343,2.47741,3.4673299999999996
2,B1 SH,ALEXANDER D,2948.5,69.14,0.607,5.6,10.285,,1,0.438,7.485,13.085,0.1680650482477258,2.4802975,3.4145
2,B1 SH,ALEXANDER D,2949.0,65.21,0.589,4.7,10.23,,1,0.406,7.880000000000001,12.58,0.15686849895014543,2.4812049999999997,3.446420000000002
2,B1 SH,ALEXANDER D,2949.5,60.86,0.571,4.0,10.185,,1,0.375,8.185,12.185,0.14447537186503742,2.4819475,3.381219999999999
2,B1 SH,ALEXANDER D,2950.0,57.85,0.551,4.7,9.525,,1,0.344,7.175000000000001,11.875,0.13589989772108912,2.4928375,3.6617399999999987
2,B1 SH,ALEXANDER D,2950.5,59.87,0.531,5.0,9.17,,1,0.313,6.67,11.67,0.14165486708015076,2.4986949999999997,3.656799999999998
2,B1 SH,ALEXANDER D,2951.0,63.55,0.512,7.2,9.93,,1,0.281,6.33,13.53,0.15213916769467895,2.486155,3.7625299999999995
2,B1 SH,ALEXANDER D,2951.5,69.27,0.496,8.1,11.3,,1,0.25,7.250000000000001,15.350000000000001,0.16843541756291291,2.46355,3.3279500000000035
2,B1 SH,ALEXANDER D,2952.0,79.55,0.473,8.2,13.005,,1,0.219,8.905000000000001,17.105,0.1977230834100188,2.4354175,3.2516799999999986
2,B1 SH,ALEXANDER D,2952.5,84.75,0.447,10.1,13.945,,1,0.188,8.895,18.995,0.21253785601750425,2.4199075,3.5185899999999988
2,B1 SH,ALEXANDER D,2953.0,86.1,0.438,11.6,14.59,,1,0.156,8.79,20.39,0.21638399890598603,2.409265,3.5975099999999975
2,B1 SH,ALEXANDER D,2953.5,87.01,0.464,12.1,15.205,,1,0.125,9.155000000000001,21.255,0.218976584112296,2.3991175,3.6675100000000005
3,B1 SH,ALEXANDER D,2954.0,87.46,0.614,6.2,18.555,,1,0.094,15.455,21.655,0.22025863174178992,2.3438425,3.31605
3,B1 SH,ALEXANDER D,2954.5,85.24,0.667,6.9,19.51,,1,0.063,16.060000000000002,22.96,0.2139338634362865,2.3280849999999997,3.37781
3,B1 SH,ALEXANDER D,2955.0,78.97,0.721,8.5,20.405,,1,0.031,16.155,24.655,0.19607066646533772,2.3133174999999997,3.5153099999999995
2,B1 SH,ALEXANDER D,2955.5,78.97,0.721,8.5,20.405,,1,0.031,16.155,24.655,0.19607066646533772,2.3133174999999997,3.536800000000001
8,B1 LM,ALEXANDER D,2956.0,67.92,0.795,9.2,19.835,,2,1.0,15.235000000000001,24.435000000000002,0.16458927467443113,2.3227225,3.332569999999996
8,B1 LM,ALEXANDER D,2956.5,50.23,0.878,5.1,11.71,,2,0.952,9.16,14.260000000000002,0.1141905578616585,2.456785,4.293010000000001
8,B1 LM,ALEXANDER D,2957.0,28.31,0.957,5.4,8.42,,2,0.905,5.72,11.120000000000001,0.05174059333164294,2.5110699999999997,4.827990000000001
8,B1 LM,ALEXANDER D,2957.5,23.76,0.983,4.4,7.42,,2,0.857,5.22,9.620000000000001,0.038777667300093174,2.5275699999999994,4.720760000000001
8,B1 LM,ALEXANDER D,2958.0,21.89,1.004,4.3,7.245,,2,0.81,5.095000000000001,9.395,0.033450047150862826,2.5304575,4.695150000000001
8,B1 LM,ALEXANDER D,2958.5,20.94,1.016,3.3,7.44,,2,0.762,5.790000000000001,9.09,0.030743502155264522,2.5272399999999995,4.674729999999998
8,B1 LM,ALEXANDER D,2959.0,20.93,1.015,3.0,7.31,,2,0.714,5.81,8.809999999999999,0.03071501220794243,2.5293850000000004,4.723519999999998
8,B1 LM,ALEXANDER D,2959.5,22.27,0.922,2.8,7.005,,2,0.667,5.605,8.405,0.034532665149102144,2.5344175000000004,4.69376
8,B1 LM,ALEXANDER D,2960.0,26.48,0.885,2.7,6.79,,2,0.619,5.4399999999999995,8.14,0.04652693297170095,2.537965,4.551140000000001
8,B1 LM,ALEXANDER D,2960.5,27.04,0.866,3.3,6.84,,2,0.571,5.1899999999999995,8.49,0.04812237002173783,2.53714,4.338580000000002
6,B1 LM,ALEXANDER D,2961.0,29.7,0.848,4.4,7.2,,2,0.524,5.0,9.4,0.05570069600941309,2.5311999999999997,4.335289999999998
5,B1 LM,ALEXANDER D,2961.5,36.65,0.834,5.8,7.665,,2,0.476,4.765000000000001,10.565,0.07550120939826382,2.5235274999999997,4.335579999999999
5,B1 LM,ALEXANDER D,2962.0,38.96,0.894,6.6,7.855,,2,0.429,4.555000000000001,11.155000000000001,0.08208238722966602,2.5203925,4.390280000000001
5,B1 LM,ALEXANDER D,2962.5,38.94,0.947,6.9,7.745,,2,0.381,4.295,11.195,0.08202540733502184,2.5222074999999995,4.559000000000001
6,B1 LM,ALEXANDER D,2963.0,38.93,0.97,6.0,6.96,,2,0.333,3.96,9.96,0.08199691738769975,2.53516,4.8134299999999985
6,B1 LM,ALEXANDER D,2963.5,39.54,0.914,4.9,5.64,,2,0.286,3.1899999999999995,8.09,0.08373480417434709,2.55694,4.783600000000001
8,B1 LM,ALEXANDER D,2964.0,40.03,0.868,4.3,4.76,,2,0.238,2.61,6.91,0.08513081159312937,2.57146,4.606170000000002
8,B1 LM,ALEXANDER D,2964.5,41.75,0.827,4.2,4.53,,2,0.19,2.43,6.630000000000001,0.0900310825325284,2.575255,4.539040000000003
8,B1 LM,ALEXANDER D,2965.0,44.91,0.785,4.2,4.57,,2,0.143,2.47,6.67,0.099033905886308,2.574595,4.454120000000003
8,B1 LM,ALEXANDER D,2965.5,58.36,0.741,4.3,4.625,,2,0.095,2.475,6.775,0.13735288503451556,2.5736875,4.138400000000001
4,B1 LM,ALEXANDER D,2966.0,71.82,0.716,4.5,5.065,,2,0.048,2.8150000000000004,7.315,0.1757003541300452,2.5664275,4.724319999999999
3,B2 SH,ALEXANDER D,2966.5,81.13,0.697,7.0,7.925,,1,1.0,4.425,11.425,0.2022244950869086,2.5192375,3.8652700000000006
3,B2 SH,ALEXANDER D,2967.0,88.32,0.68,9.6,11.79,,1,0.957,6.989999999999999,16.59,0.2227087672114894,2.4554650000000002,3.3274
3,B2 SH,ALEXANDER D,2967.5,90.49,0.663,7.7,13.675,,1,0.913,9.825000000000001,17.525000000000002,0.2288910857803824,2.4243625,3.0527299999999995
3,B2 SH,ALEXANDER D,2968.0,90.26,0.638,7.0,14.01,,1,0.87,10.51,17.509999999999998,0.2282358169919744,2.4188349999999996,3.0721900000000004
3,B2 SH,ALEXANDER D,2968.5,89.38,0.61,6.9,13.45,,1,0.826,10.0,16.9,0.2257287016276307,2.428075,3.1148399999999996
3,B2 SH,ALEXANDER D,2969.0,88.92,0.561,8.6,12.73,,1,0.783,8.43,17.03,0.2244181640508147,2.439955,3.145580000000001
3,B2 SH,ALEXANDER D,2969.5,89.37,0.5,9.8,12.52,,1,0.739,7.619999999999999,17.42,0.22570021168030863,2.44342,3.3501799999999986
3,B2 SH,ALEXANDER D,2970.0,92.6,0.418,9.4,13.625,,1,0.696,8.925,18.325,0.23490246466534284,2.4251875,3.242219999999999
3,B2 SH,ALEXANDER D,2970.5,101.17,0.384,10.2,14.655,,1,0.652,9.555,19.755,0.25931834952037175,2.4081925,3.240039999999997
3,B2 SH,ALEXANDER D,2971.0,110.95,0.352,12.7,16.07,,1,0.609,9.72,22.42,0.28718151800137326,2.3848449999999994,3.358249999999997
3,B2 SH,ALEXANDER D,2971.5,112.65,0.344,16.5,18.115,,1,0.565,9.864999999999998,26.365,0.2920248090461281,2.3511025,3.5464499999999957
3,B2 SH,ALEXANDER D,2972.0,113.04,0.378,15.5,19.145,,1,0.522,11.395,26.895,0.2931359169916895,2.3341075,3.4964499999999936
3,B2 SH,ALEXANDER D,2972.5,112.5,0.413,8.1,22.875,,1,0.478,18.825,26.925,0.29159745983629676,2.2725625000000003,3.20862
3,B2 SH,ALEXANDER D,2973.0,109.7,0.449,6.5,22.745,,1,0.435,19.495,25.995,0.28362027458611233,2.2747075,3.237390000000001
3,B2 SH,ALEXANDER D,2973.5,105.04,0.473,6.4,22.595,,1,0.391,19.395,25.794999999999998,0.2703439591340196,2.2771825,3.29816
3,B2 SH,ALEXANDER D,2974.0,98.57,0.497,6.3,22.305,,1,0.348,19.155,25.455,0.251910963216629,2.2819675000000004,3.299220000000001
3,B2 SH,ALEXANDER D,2974.5,88.41,0.509,5.3,18.38,,1,0.304,15.729999999999999,21.029999999999998,0.22296517673738822,2.3467300000000004,3.0825700000000005
2,B2 SH,ALEXANDER D,2975.0,81.26,0.519,4.0,15.185,,1,0.261,13.185,17.185000000000002,0.20259486440209576,2.3994475,3.1239899999999996
